,Date,Game,Location,Time,Score,Rating,Reach
0,2023-08-28,Novak Djokovic vs Carlos Alcaraz,Arthur Ashe Stadium,19:00:00,"6-4, 3-6, 7-6, 6-3",9.2,15000000
1,2023-08-28,Serena Williams vs Naomi Osaka,Arthur Ashe Stadium,15:00:00,"7-5, 4-6, 6-4",9.8,17000000
2,2023-08-29,Rafael Nadal vs Daniil Medvedev,Arthur Ashe Stadium,20:00:00,"6-3, 6-7, 7-5, 6-2",9.5,16000000
3,2023-08-29,Iga Swiatek vs Coco Gauff,Louis Armstrong Stadium,14:00:00,"6-2, 6-4",8.9,14000000
4,2023-08-30,Alexander Zverev vs Stefanos Tsitsipas,Arthur Ashe Stadium,21:00:00,"6-4, 3-6, 6-3, 7-6",9.1,14500000
5,2023-08-30,Ashleigh Barty vs Bianca Andreescu,Louis Armstrong Stadium,17:00:00,"7-6, 6-2",9.0,13500000
6,2023-08-31,Roger Federer vs Andy Murray,Arthur Ashe Stadium,19:00:00,"6-2, 5-7, 6-4, 7-5",9.7,17500000
7,2023-08-31,Simona Halep vs Petra Kvitova,Louis Armstrong Stadium,12:00:00,"6-4, 6-3",8.8,12000000
8,2023-09-01,Dominic Thiem vs Matteo Berrettini,Arthur Ashe Stadium,16:00:00,"7-6, 7-5, 6-2",9.3,13000000
9,2023-09-01,Elena Rybakina vs Garbiñe Muguruza,Louis Armstrong Stadium,13:00:00,"6-3, 6-7, 7-5",9.0,12500000
